Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
617,733,KKDA DN,08:14,MUPR,08:29,DN,15,yes,No StepBack,No StepBack,258,None
396,734,MKPD,08:15,PVGW DN,08:30,DN,15,yes,No StepBack,No StepBack,447,448
57,735,VND,08:17,KKDA DN,08:23,DN,6,yes,No StepBack,No StepBack,280,281
618,721,MUPR,08:18,KKDA UP,08:34,UP,16,yes,No StepBack,No StepBack,228,None
58,728,KKDA UP,08:18,PVGW UP,09:24,UP,66,no,No StepBack,No StepBack,192,193
59,732,PVGW DN,08:19,KKDA DN,09:25,DN,66,no,No StepBack,No StepBack,422,423
619,723,KKDA DN,08:20,MUPR,08:35,DN,15,yes,No StepBack,No StepBack,271,None
397,715,PVGW UP,08:21,PVGW DN,08:56,UP,35,yes,No StepBack,No StepBack,78,516
620,735,KKDA DN,08:23,MUPR,08:38,DN,15,yes,No StepBack,No StepBack,282,None
621,731,MUPR,08:23,KKDA UP,08:39,UP,16,yes,No StepBack,No StepBack,235,None
60,720,KKDA UP,08:23,PVGW UP,09:30,UP,67,no,No StepBack,No StepBack,205,206
61,702,PVGW DN,08:24,KKDA DN,09:30,DN,66,no,No StepBack,No StepBack,435,436
398,736,MKPD,08:25,PVGW DN,08:40,DN,15,yes,No StepBack,No StepBack,475,476
622,718,KKDA DN,08:28,MUPR,08:43,DN,15,yes,No StepBack,No StepBack,291,None
62,730,KKDA UP,08:28,PVGW UP,09:35,UP,67,no,No StepBack,No StepBack,216,217
623,722,MUPR,08:29,KKDA UP,08:44,UP,15,yes,No StepBack,No StepBack,248,None
63,734,PVGW DN,08:30,KKDA DN,09:35,DN,65,no,No StepBack,No StepBack,449,450
399,705,PVGW UP,08:31,PVGW DN,09:04,UP,33,yes,No StepBack,No StepBack,89,539
64,721,KKDA UP,08:34,PVGW UP,09:40,UP,66,no,No StepBack,No StepBack,229,230
65,737,VND,08:34,KKDA DN,08:40,DN,6,yes,No StepBack,No StepBack,319,320
